sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,is_violent_recid
Female,51,African-American,0,0,0,7,(F3),Possession of Cocaine,0,0
Female,51,African-American,0,0,0,7,(F3),Possession of Cocaine,0,0
Male,28,Caucasian,0,0,0,8,(F3),Possession of Cocaine,0,0
Male,36,African-American,0,0,0,22,(M1),Burglary Dwelling Occupied,0,0
Male,36,African-American,0,0,0,22,(M1),Burglary Dwelling Occupied,0,0
Male,29,African-American,0,0,0,0,(F3),Defrauding Innkeeper $300/More,1,0
Male,29,African-American,0,0,0,0,(F3),Defrauding Innkeeper $300/More,1,0
Male,29,African-American,0,0,0,0,(F3),Defrauding Innkeeper $300/More,1,0
Male,29,Other,0,0,0,0,(M1),Battery,0,0
Male,25,Caucasian,0,0,0,9,(M1),Battery,1,1
Male,35,African-American,1,0,4,13,(F3),Uttering a Forged Instrument,1,1
Male,49,Caucasian,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0,0
Male,34,African-American,0,0,0,4,(M2),Driving License Suspended,1,0
Male,29,African-American,0,0,0,0,(F3),Tampering With Physical Evidence,0,0
Male,29,Caucasian,0,0,0,1,(F3),Possession of Oxycodone,1,0
Male,29,Caucasian,0,0,0,1,(F3),Possession of Oxycodone,1,0
Female,28,Other,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0
Male,51,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0
Male,25,Caucasian,0,0,0,0,(F3),Possession of Cocaine,0,0
Male,48,Caucasian,0,0,0,20,(F3),arrest case no charge,1,0
Male,48,Caucasian,0,0,0,20,(F3),arrest case no charge,1,0
Male,48,Caucasian,0,0,0,20,(F3),arrest case no charge,1,0
Male,33,Caucasian,0,0,0,1,(F3),Grand Theft Dwell Property,0,0
Male,33,Caucasian,0,0,0,1,(F3),Grand Theft Dwell Property,0,0
Female,63,Hispanic,0,0,0,1,(F1),arrest case no charge,0,0
Male,30,African-American,0,0,1,3,(F3),Possession of Cocaine,0,0
Male,31,African-American,0,0,1,15,(F2),Attempt Armed Burglary Dwell,1,0
Male,24,African-American,0,0,0,2,(F3),Poss Tetrahydrocannabinols,1,0
Male,24,African-American,0,0,0,2,(F3),Poss Tetrahydrocannabinols,1,0
Male,24,African-American,0,0,0,2,(F3),Poss Tetrahydrocannabinols,1,0
Male,27,African-American,0,0,0,0,(F3),Felony Driving While Lic Suspd,0,0
Male,32,Caucasian,0,0,0,3,(F3),Tampering With Physical Evidence,0,0
Male,30,Hispanic,0,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,0,0
Male,49,African-American,0,0,0,4,(M1),Battery,0,0
Male,53,Caucasian,0,0,0,8,(F3),arrest case no charge,0,0
Female,31,Hispanic,0,0,0,0,(M1),Battery,0,0
Male,35,African-American,0,0,0,5,(F3),Driving While License Revoked,0,0
Male,63,African-American,0,0,0,10,(M1),Possess Drug Paraphernalia,1,0
Male,33,African-American,0,0,0,2,(F2),Agg Battery Grt/Bod/Harm,0,0
Male,27,African-American,1,1,2,15,(F3),Driving While License Revoked,1,0
Male,27,African-American,1,1,2,15,(F3),Driving While License Revoked,1,0
Male,27,African-American,1,1,2,15,(F3),Driving While License Revoked,1,0
Male,38,Caucasian,0,0,0,4,(M1),Battery,1,0
Male,46,Caucasian,3,1,0,9,(F3),Grand Theft in the 3rd Degree,0,0
Male,46,Caucasian,3,1,0,9,(F3),Grand Theft in the 3rd Degree,0,0
Male,22,African-American,0,0,1,1,(F3),Poss Firearm W/Altered ID#,1,0
Female,34,Caucasian,0,0,0,0,(M1),Battery,0,0
Male,22,African-American,0,1,2,2,(F3),Sell Conterfeit Cont Substance,1,0
Male,22,African-American,0,1,2,2,(F3),Sell Conterfeit Cont Substance,1,0
Male,22,African-American,0,1,2,2,(F3),Sell Conterfeit Cont Substance,1,0
Male,29,African-American,0,0,0,4,(F3),arrest case no charge,1,0
Male,29,African-American,0,0,0,4,(F3),arrest case no charge,1,0
Male,29,African-American,0,0,0,4,(F3),arrest case no charge,1,0
Male,29,African-American,0,0,0,4,(F3),arrest case no charge,1,0
Male,62,Hispanic,0,0,0,0,(M2),Unlaw LicTag/Sticker Attach,0,0
Male,27,African-American,0,1,0,6,(F2),Aggravated Battery / Pregnant,1,0
Male,27,African-American,0,1,0,6,(F2),Aggravated Battery / Pregnant,1,0
Male,27,African-American,0,1,0,6,(F2),Aggravated Battery / Pregnant,1,0
Male,33,Other,0,0,0,0,(M1),Battery,0,0
Female,56,African-American,0,0,0,0,(M1),Battery,0,0
Male,45,Hispanic,0,0,0,6,(F3),Possession of Cocaine,1,1
Male,45,Hispanic,0,0,0,6,(F3),Possession of Cocaine,1,1
Male,22,Hispanic,0,0,0,1,(F3),Burglary Structure Unoccup,0,0
Female,31,Caucasian,0,0,0,2,(F3),Felony Driving While Lic Suspd,0,0
Male,34,African-American,0,0,0,0,(F3),False Imprisonment,0,0
Male,39,African-American,0,0,0,1,(M1),arrest case no charge,0,0
Male,24,African-American,0,1,0,4,(M1),Battery,0,0
Male,29,African-American,0,0,0,5,(F3),False Name By Person Arrest,1,0
Male,29,African-American,0,0,0,5,(F3),False Name By Person Arrest,1,0
Male,29,African-American,0,0,0,5,(F3),False Name By Person Arrest,1,0
Male,29,African-American,0,0,0,5,(F3),False Name By Person Arrest,1,0
Male,29,African-American,0,0,0,5,(F3),False Name By Person Arrest,1,0
Male,27,Caucasian,0,0,1,1,(F3),arrest case no charge,1,0
Male,27,Caucasian,0,0,1,1,(F3),arrest case no charge,1,0
Male,27,Caucasian,0,0,1,1,(F3),arrest case no charge,1,0
Male,27,Caucasian,0,0,1,1,(F3),arrest case no charge,1,0
Male,41,African-American,0,0,0,0,,,-1,0
Female,24,Hispanic,0,0,0,1,(M2),DUI Property Damage/Injury,0,0
Male,40,African-American,0,0,0,2,(F3),arrest case no charge,0,0
Male,51,African-American,0,0,0,1,(F3),arrest case no charge,0,0
Male,51,African-American,0,0,0,1,(F3),arrest case no charge,0,0
Male,22,African-American,0,0,0,1,(M1),Battery,1,0
Male,22,African-American,0,0,0,1,(M1),Battery,1,0
Male,22,African-American,0,0,0,1,(M1),Battery,1,0
Male,22,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0
Male,22,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0
Male,22,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0
Male,22,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0
Male,22,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0
Female,26,African-American,0,0,0,1,(F2),Poss Cocaine/Intent To Del/Sel,1,1
Male,27,Caucasian,0,0,0,1,(F7),Burglary Dwelling Assault/Batt,1,1
Female,59,African-American,0,0,0,2,(F3),arrest case no charge,0,0
Male,32,Caucasian,0,0,0,3,(M1),Driving Under The Influence,0,0
Male,32,African-American,0,0,0,0,(F3),Felony Battery (Dom Strang),0,0
Male,41,African-American,0,0,0,1,(M2),arrest case no charge,0,0
Male,50,Caucasian,0,0,0,0,(M1),Battery,0,0
Male,30,African-American,0,0,0,8,(M1),Possess Cannabis/20 Grams Or Less,1,1
Male,30,African-American,0,0,0,8,(M1),Possess Cannabis/20 Grams Or Less,1,1
Male,30,African-American,0,0,0,8,(M1),Possess Cannabis/20 Grams Or Less,1,1
Male,66,African-American,0,0,0,0,(MO3),arrest case no charge,0,0
Male,52,African-American,0,0,0,3,(F3),Driving While License Revoked,0,0
Male,36,African-American,0,0,0,0,,,-1,0
Male,22,Caucasian,0,0,0,3,(F3),Burglary Conveyance Unoccup,0,0
Male,50,Other,0,0,0,0,(F3),arrest case no charge,1,0
Male,50,Other,0,0,0,0,(F3),arrest case no charge,1,0
Male,25,African-American,1,6,1,14,(F2),arrest case no charge,1,1
Male,25,African-American,1,6,1,14,(F2),arrest case no charge,1,1
Male,25,African-American,1,6,1,14,(F2),arrest case no charge,1,1
Male,25,African-American,1,6,1,14,(F2),arrest case no charge,1,1
Male,25,African-American,1,6,1,14,(F2),arrest case no charge,1,1
Female,44,Caucasian,0,0,0,0,,,-1,0
Male,20,Other,0,0,0,0,(F3),Tampering With Physical Evidence,1,1
Male,22,African-American,1,0,0,2,(F3),Attempted Burg/struct/unocc,1,0
Male,22,African-American,1,0,0,2,(F3),Attempted Burg/struct/unocc,1,0
Male,22,African-American,1,0,0,2,(F3),Attempted Burg/struct/unocc,1,0
Male,23,African-American,0,0,1,2,(M2),arrest case no charge,1,0
Male,23,African-American,0,0,1,2,(M2),arrest case no charge,1,0
Male,54,African-American,0,0,0,6,(F1),arrest case no charge,0,0
Male,54,African-American,0,0,0,6,(F1),arrest case no charge,0,0
Male,40,Caucasian,0,0,0,4,(F3),arrest case no charge,0,0
Male,40,Caucasian,0,0,0,4,(F3),arrest case no charge,0,0
Male,25,African-American,0,0,0,10,(F2),arrest case no charge,0,0
Male,25,African-American,0,0,0,10,(F2),arrest case no charge,0,0
Female,35,African-American,0,0,0,1,(M2),arrest case no charge,0,0
Male,36,African-American,0,0,0,9,(F2),Deliver Cocaine,1,0
Male,36,African-American,0,0,0,9,(F2),Deliver Cocaine,1,0
Male,26,Caucasian,0,0,0,7,(F3),Possession Burglary Tools,1,0
Male,26,Caucasian,0,0,0,7,(F3),Possession Burglary Tools,1,0
Male,26,Caucasian,0,0,0,7,(F3),Possession Burglary Tools,1,0
Male,21,Other,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1,0
Male,21,Other,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1,0
Male,21,Other,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1,0
Male,21,Other,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1,0
Male,21,Other,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1,0
Female,28,African-American,0,0,0,0,,,-1,0
Male,30,Caucasian,0,0,1,6,(F3),Burglary Conveyance Unoccup,0,0
Male,25,Caucasian,0,0,0,9,(F3),Pos Cannabis W/Intent Sel/Del,1,1
Male,25,Caucasian,0,0,0,9,(F3),Pos Cannabis W/Intent Sel/Del,1,1
Male,71,African-American,0,0,0,12,(M1),Possess Cannabis/20 Grams Or Less,0,0
Male,34,African-American,0,0,0,3,(M1),Battery,0,0
Female,20,Caucasian,0,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0,0
Male,39,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,0
Male,39,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,0
Male,39,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,0
Male,39,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,0
Male,39,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,0
Male,39,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,0
Male,39,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,0
Male,39,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,0
Male,66,Caucasian,0,0,0,3,(F2),Flee/Elude LEO-Agg Flee Unsafe,0,0
Female,54,Caucasian,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0,0
Male,28,African-American,0,0,0,0,,,-1,0
Female,44,Hispanic,0,0,0,0,(M1),Battery,0,0
Male,19,African-American,0,0,0,1,(M2),Battery,1,1
Male,24,African-American,0,0,0,1,(F2),arrest case no charge,0,0
Male,24,African-American,0,0,0,1,(F2),arrest case no charge,0,0
Male,30,African-American,0,0,0,1,(F3),Fail To Redeliv Hire/Leas Prop,0,0
Female,39,Caucasian,0,0,0,0,(F3),Aggravated Assault W/Dead Weap,1,1
Female,32,African-American,0,0,0,8,(M1),Battery,0,0
Male,24,Caucasian,0,1,2,8,(F3),False Ownership Info/Pawn Item,1,0
Male,24,Caucasian,0,1,2,8,(F3),False Ownership Info/Pawn Item,1,0
Male,24,Caucasian,0,1,2,8,(F3),False Ownership Info/Pawn Item,1,0
Male,24,Caucasian,0,1,2,8,(F3),False Ownership Info/Pawn Item,1,0
Male,24,Caucasian,0,1,2,8,(F3),False Ownership Info/Pawn Item,1,0
Male,30,Caucasian,0,0,0,0,(F3),Possession Of Methamphetamine,0,0
Male,30,Caucasian,0,0,0,0,(F3),Possession Of Methamphetamine,0,0
Male,30,Caucasian,0,0,0,0,(F3),Possession Of Methamphetamine,0,0
Male,31,Caucasian,0,0,0,0,(M1),Battery,0,0
Female,39,Caucasian,0,0,0,1,(F3),Possession of Morphine,0,0
Female,39,Caucasian,0,0,0,1,(F3),Possession of Morphine,0,0
Female,39,Caucasian,0,0,0,1,(F3),Possession of Morphine,0,0
Female,39,Caucasian,0,0,0,1,(F3),Possession of Morphine,0,0
Female,39,Caucasian,0,0,0,1,(F3),Possession of Morphine,0,0
Male,59,African-American,0,0,0,14,(F3),arrest case no charge,1,1
Male,35,Caucasian,0,0,0,7,(F3),Felony Driving While Lic Suspd,0,0
Male,35,Caucasian,0,0,0,7,(F3),Felony Driving While Lic Suspd,0,0
Female,24,Other,0,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0,0
Male,43,Caucasian,0,0,0,1,(F3),Possession of Cocaine,0,0
Male,21,African-American,1,0,1,2,(F3),Tampering With Physical Evidence,0,0
Male,21,African-American,1,0,1,2,(F3),Tampering With Physical Evidence,0,0
Male,21,African-American,1,0,1,2,(F3),Tampering With Physical Evidence,0,0
Male,21,African-American,1,0,1,2,(F3),Tampering With Physical Evidence,0,0
Male,21,African-American,1,0,1,2,(F3),Tampering With Physical Evidence,0,0
Male,21,African-American,1,0,1,2,(F3),Tampering With Physical Evidence,0,0
Female,21,African-American,0,0,0,0,(M1),Battery,0,0
Male,21,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,1,0
Male,21,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,1,0
Male,21,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,1,0
Male,21,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,1,0
Male,21,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,1,0
Male,27,African-American,0,0,0,0,(F3),Driving While License Revoked,0,0
Male,20,African-American,0,0,0,0,(F3),arrest case no charge,0,0
Male,20,African-American,0,0,0,0,(F3),arrest case no charge,0,0
Male,20,African-American,0,0,0,0,(F3),arrest case no charge,0,0
Male,20,African-American,0,0,0,0,(F3),arrest case no charge,0,0
Male,20,African-American,0,0,0,0,(F3),arrest case no charge,0,0
Male,20,African-American,0,0,0,0,(F3),arrest case no charge,0,0
Male,38,Caucasian,0,0,0,5,(M1),Possess Cannabis/20 Grams Or Less,1,0
Male,38,Caucasian,0,0,0,5,(M1),Possess Cannabis/20 Grams Or Less,1,0
Male,27,African-American,0,0,0,3,(F3),Robbery / No Weapon,0,0
Male,27,African-American,0,0,0,3,(F3),Robbery / No Weapon,0,0
Male,34,Caucasian,0,0,0,0,(F3),Aggravated Assault w/Firearm,0,0
Male,34,Caucasian,0,0,0,0,(F3),Aggravated Assault w/Firearm,0,0
Male,30,African-American,0,0,0,3,(F3),Possession of Cocaine,0,0
Male,33,African-American,0,0,0,5,(F3),Poss Contr Subst W/o Prescript,1,0
Male,37,African-American,0,0,0,3,(F3),"Poss3,4 Methylenedioxymethcath",0,0
Male,37,African-American,0,0,0,3,(F3),"Poss3,4 Methylenedioxymethcath",0,0
Male,42,Caucasian,0,0,0,1,(F3),Aggrav Stalking After Injunctn,1,0
Male,42,Caucasian,0,0,0,1,(F3),Aggrav Stalking After Injunctn,1,0
Male,42,Caucasian,0,0,0,1,(F3),Aggrav Stalking After Injunctn,1,0
Male,41,African-American,0,1,0,10,(F3),Possession of Cocaine,1,0
Male,41,African-American,0,1,0,10,(F3),Possession of Cocaine,1,0
Male,22,African-American,0,0,0,0,(F3),Uttering a Forged Instrument,1,0
Male,22,African-American,0,0,0,0,(F3),Uttering a Forged Instrument,1,0
Male,33,African-American,0,12,2,28,(F3),Driving While License Revoked,1,0
Male,33,African-American,0,12,2,28,(F3),Driving While License Revoked,1,0
Male,33,African-American,0,12,2,28,(F3),Driving While License Revoked,1,0
Male,44,Caucasian,0,0,0,0,(M2),Criminal Mischief Damage <$200,0,0
Male,31,African-American,0,0,0,1,(M1),Battery,0,0
Male,26,African-American,0,0,0,9,(F3),Felony Driving While Lic Suspd,0,0
Male,26,African-American,0,0,0,9,(F3),Felony Driving While Lic Suspd,0,0
Female,30,Other,0,0,0,1,(F3),Crim Use of Personal ID Info,0,0
Female,30,Other,0,0,0,1,(F3),Crim Use of Personal ID Info,0,0
Female,30,Other,0,0,0,1,(F3),Crim Use of Personal ID Info,0,0
Male,31,Caucasian,0,0,0,13,(F3),arrest case no charge,1,1
Male,27,African-American,0,0,0,3,(F3),Possession of Cocaine,1,0
Female,31,Caucasian,0,0,0,1,(F3),Grand Theft (Motor Vehicle),0,0
Female,31,Caucasian,0,0,0,1,(F3),Grand Theft (Motor Vehicle),0,0
Male,47,Hispanic,0,0,0,2,(F3),Grand Theft in the 3rd Degree,0,0
Male,56,African-American,0,0,0,8,(F3),arrest case no charge,0,0
Male,56,African-American,0,0,0,8,(F3),arrest case no charge,0,0
Male,33,Asian,0,0,0,2,(MO3),Failure To Pay Taxi Cab Charge,0,0
Male,33,Asian,0,0,0,2,(MO3),Failure To Pay Taxi Cab Charge,0,0
Male,33,Asian,0,0,0,2,(MO3),Failure To Pay Taxi Cab Charge,0,0
Male,52,Caucasian,0,0,0,3,(M1),Battery,0,0
Male,33,African-American,0,0,0,19,(F3),arrest case no charge,1,0
Male,33,African-American,0,0,0,19,(F3),arrest case no charge,1,0
Male,61,Caucasian,0,0,0,0,(F3),Obstruct Officer W/Violence,0,0
Female,64,Caucasian,0,0,0,2,(M1),Resist/Obstruct W/O Violence,0,0
Male,22,Caucasian,0,0,0,4,(F3),Possession Of Alprazolam,1,0
Male,22,Caucasian,0,0,0,4,(F3),Possession Of Alprazolam,1,0
Male,42,Caucasian,0,0,0,6,(F3),Possession Of Alprazolam,0,0
Male,42,Caucasian,0,0,0,6,(F3),Possession Of Alprazolam,0,0
Male,42,Caucasian,0,0,0,6,(F3),Possession Of Alprazolam,0,0
Female,25,Caucasian,0,0,0,2,(F3),arrest case no charge,0,0
Female,25,Caucasian,0,0,0,2,(F3),arrest case no charge,0,0
Male,27,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0
Male,30,Caucasian,0,0,0,1,(M2),Agg Fleeing and Eluding,0,0
Male,23,African-American,0,0,0,0,,,-1,0
Male,28,Caucasian,0,0,0,2,(F3),arrest case no charge,0,0
Female,37,Other,0,0,0,2,(M2),Petit Theft,0,0
Male,21,Caucasian,0,0,0,1,(F3),Possession of Cannabis,0,0
Male,28,Caucasian,0,0,0,0,(M2),Disorderly Intoxication,1,0
Male,28,Caucasian,0,0,0,0,(M2),Disorderly Intoxication,1,0
Male,28,Caucasian,0,0,0,0,(M2),Disorderly Intoxication,1,0
